1548634309.18,1548634311.82,2_0,4_0,1_0,10_0,5_0,1548634236.9432,1548634241.075058,1_0,False,1548634241.075146,1548634241.075146
1548634318.74,1548634320.74,6_4,1_2,2_2,9_2,5_1,1548634245.835997,1548634249.371329,1_2,False,1548634249.371395,1548634249.371395
1548634328.98,1548634330.65,6_4,1_2,2_2,9_2,10_0,1548634255.753555,1548634257.802486,1_2,False,1548634257.802547,1548634257.802547
1548634336.15,1548634337.78,1_2,6_4,2_2,9_2,10_0,1548634262.921727,1548634264.728206,1_2,False,1548634264.72827,1548634264.72827
1548634343.07,1548634344.77,2_2,6_4,1_2,9_2,10_0,1548634269.987468,1548634272.504518,1_2,False,1548634272.504579,1548634272.504579
1548634350.94,1548634352.59,6_4,1_2,2_2,9_2,10_0,1548634277.751402,1548634279.841251,1_2,False,1548634279.841321,1548634279.841321
1548634358.48,1548634360.15,6_4,1_2,2_2,9_2,10_0,1548634285.243736,1548634287.138738,2_2,False,1548634287.138806,1548634287.138806
1548634375.18,1548634376.68,6_4,2_2,1_2,9_2,10_0,1548634301.834076,1548634306.145726,1_2,False,1548634306.145793,1548634306.145793
1548634390.21,1548634392.51,2_0,1_0,4_0,10_0,5_0,1548634317.706747,1548634319.656192,1_0,False,1548634319.656237,1548634319.656237
1548634397.71,1548634399.21,1_2,6_4,2_2,9_2,10_0,1548634324.360837,1548634325.920998,1_2,False,1548634325.921057,1548634325.921057
1548634404.32,1548634405.77,1_2,6_4,2_2,9_2,10_0,1548634330.881068,1548634332.234151,1_2,False,1548634332.234218,1548634332.234218
1548634418.27,1548634419.85,6_4,1_2,2_2,9_2,1_1,1548634345.046794,1548634347.163002,1_2,False,1548634347.163067,1548634347.163067
1548634425.71,1548634427.15,6_4,1_2,2_2,9_2,10_0,1548634352.239957,1548634354.010622,1_2,False,1548634354.010681,1548634354.010681
1548634435.88,1548634437.21,1_2,6_4,2_2,9_2,10_0,1548634362.352567,1548634363.571074,1_2,False,1548634363.571121,1548634363.571121
1548634446.01,1548634448.24,4_0,10_0,4_1,6_2,2_0,1548634373.412157,1548634374.937469,4_0,False,1548634374.937514,1548634374.937514
1548634455.04,1548634456.54,4_1,6_1,5_1,4_0,9_1,1548634381.66673,1548634383.09708,4_1,False,1548634383.097149,1548634383.097149
1548634462.12,1548634463.57,4_1,10_0,5_1,6_1,1_1,1548634388.771997,1548634390.234975,4_1,False,1548634390.235039,1548634390.235039
1548634472.01,1548634473.62,4_1,10_0,6_1,4_0,1_0,1548634398.80723,1548634400.371917,4_1,False,1548634400.371982,1548634400.371982
1548634480.15,1548634481.38,2_2,10_2,10_3,10_1,6_0,1548634406.487584,1548634411.883535,6_0,False,1548634411.883581,1548634411.883581
1548634491.07,1548634492.77,1_2,6_4,2_2,5_1,9_2,1548634417.956325,1548634420.139087,6_4,False,1548634420.13915,1548634420.13915
1548634537.57,1548634539.32,1_1,6_3,9_1,4_0,5_2,1548634464.446183,1548634466.579337,6_3,False,1548634466.579398,1548634466.579398
1548634562.68,1548634564.48,1_1,6_3,9_1,4_0,5_2,1548634489.565708,1548634491.777722,6_3,False,1548634491.777788,1548634491.777788
1548634572.04,1548634573.74,1_1,6_3,9_1,4_2,5_2,1548634498.831554,1548634500.826994,6_3,False,1548634500.827059,1548634500.827059
1548634580.57,1548634582.15,1_1,6_3,9_1,5_2,4_2,1548634507.249383,1548634509.18013,6_3,False,1548634509.180198,1548634509.180198
1548634594.57,1548634596.01,10_0,2_1,6_0,4_0,10_1,1548634521.175104,1548634522.769987,10_0,False,1548634522.77003,1548634522.77003
