1550174613.57,1550174616.24,1_1,1_2,5_2,6_3,10_1,1_1,1_2,5_2,6_3,10_1,1_1,1_2,5_2,6_3,10_1,1550174615.993088,1550174618.240272,1_1,False,1550174618.240329,1550174618.240329
1550174646.44,1550174648.97,2_2,2_1,4_2,1_1,6_3,2_2,2_1,4_2,1_1,6_3,2_2,2_1,4_2,1_1,6_3,1550174648.729184,1550174654.010063,2_2,False,1550174654.010114,1550174654.010114
1550174660.92,1550174663.71,2_2,2_1,4_2,10_3,6_3,2_2,2_1,4_2,10_3,6_3,2_2,2_1,4_2,10_3,6_3,1550174663.322967,1550174672.195353,2_2,False,1550174672.195403,1550174672.195403
1550174678.22,1550174680.86,2_2,2_1,4_2,6_3,10_3,2_2,2_1,4_2,6_3,10_3,2_2,2_1,4_2,6_3,10_3,1550174680.49871,1550174683.523515,2_1,False,1550174683.523572,1550174683.523572
1550174689.23,1550174692.14,2_2,2_1,4_2,6_3,10_3,2_2,2_1,4_2,6_3,10_3,2_2,2_1,4_2,6_3,10_3,1550174691.761539,1550174694.826744,2_1,False,1550174694.826798,1550174694.826798
1550174704.0,1550174705.65,1_2,5_2,10_1,5_1,10_0,1_2,5_2,10_1,5_1,10_0,1_2,5_2,10_1,5_1,10_0,1550174705.343107,1550174707.195238,1_2,False,1550174707.195288,1550174707.195288
1550174711.77,1550174713.86,1_2,10_1,10_0,5_2,9_2,1_2,10_1,10_0,5_2,9_2,1_2,10_1,10_0,5_2,9_2,1550174713.584841,1550174715.000978,1_2,False,1550174715.00103,1550174715.00103
1550174719.6,1550174721.71,1_2,10_1,10_0,9_2,5_2,1_2,10_1,10_0,9_2,5_2,1_2,10_1,10_0,9_2,5_2,1550174721.466189,1550174722.885015,1_2,False,1550174722.885067,1550174722.885067
1550174727.16,1550174729.53,1_2,5_2,10_1,4_2,2_2,1_2,5_2,10_1,4_2,2_2,1_2,5_2,10_1,4_2,2_2,1550174729.226817,1550174730.284005,1_2,False,1550174730.284056,1550174730.284056
1550174738.33,1550174740.42,1_1,2_1,5_2,5_1,4_1,1_1,2_1,5_2,5_1,4_1,1_1,2_1,5_2,5_1,4_1,1550174740.064028,1550174741.50713,1_1,False,1550174741.507199,1550174741.507199
1550174746.92,1550174749.13,2_1,2_2,4_2,4_1,1_1,2_1,2_2,4_2,4_1,1_1,2_1,2_2,4_2,4_1,1_1,1550174748.764069,1550174752.968543,4_1,False,1550174752.968591,1550174752.968591
