1550256684.44,1550256688.11,2_0,6_1,10_2,6_0,10_1,2_0,6_1,10_2,6_0,10_1,2_0,6_1,10_2,6_0,10_1,1550256687.085549,1550256689.621356,2_0,False,1550256689.621408,1550256689.621408
1550256694.67,1550256697.44,2_1,6_2,5_2,2_0,10_3,2_1,6_2,5_2,2_0,10_3,2_1,6_2,5_2,2_0,10_3,1550256696.413574,1550256698.590784,2_1,False,1550256698.590846,1550256698.590846
1550256705.61,1550256707.82,2_1,6_2,10_0,2_0,10_2,2_1,6_2,10_0,2_0,10_2,2_1,6_2,10_0,2_0,10_2,1550256706.788416,1550256708.821439,2_1,False,1550256708.82163,1550256708.82163
1550256716.41,1550256718.94,2_2,10_3,6_2,2_0,10_1,2_2,10_3,6_2,2_0,10_1,2_2,10_3,6_2,2_0,10_1,1550256717.913532,1550256719.838927,2_2,False,1550256719.838992,1550256719.838992
1550256726.94,1550256728.81,6_0,10_3,6_3,2_2,2_0,6_0,10_3,6_3,2_2,2_0,6_0,10_3,6_3,2_2,2_0,1550256727.788186,1550256733.556196,2_2,False,1550256733.556259,1550256733.556259
1550256745.0,1550256747.91,9_2,1_1,1_2,5_2,4_2,9_2,1_1,1_2,5_2,4_2,9_2,1_1,1_2,5_2,4_2,1550256746.880599,1550256751.742332,1_2,False,1550256758.337929,1550256758.337929
1550256762.61,1550256765.79,1_2,9_2,4_0,5_0,1_0,1_2,9_2,4_0,5_0,1_0,1_2,9_2,4_0,5_0,1_0,1550256764.789718,1550256766.844945,1_2,False,1550256772.920262,1550256772.920262
1550256779.05,1550256782.24,1_2,1_0,4_0,5_0,9_2,1_2,1_0,4_0,5_0,9_2,1_2,1_0,4_0,5_0,9_2,1550256781.228746,1550256784.104219,1_2,False,1550256789.800143,1550256789.800143
1550256795.26,1550256797.94,1_0,5_0,4_0,1_2,9_2,1_0,5_0,4_0,1_2,9_2,1_0,5_0,4_0,1_2,9_2,1550256796.911647,1550256798.919415,1_0,False,1550256798.919464,1550256798.919464
1550256803.14,1550256805.14,1_2,9_2,5_0,5_1,1_1,1_2,9_2,5_0,5_1,1_1,1_2,9_2,5_0,5_1,1_1,1550256804.112327,1550256806.335781,1_2,False,1550256806.335861,1550256806.335861
1550256812.11,1550256814.14,1_2,9_2,4_2,9_0,5_1,1_2,9_2,4_2,9_0,5_1,1_2,9_2,4_2,9_0,5_1,1550256813.112427,1550256815.103724,1_2,False,1550256815.103789,1550256815.103789
