1550178556.68,1550178558.27,2_1,6_3,10_3,1_1,5_0,2_1,6_3,10_3,1_1,5_0,2_1,6_3,10_3,1_1,5_0,1550178557.807428,1550178559.991273,2_1,False,1550178559.991335,1550178559.991335
1550178562.09,1550178563.63,2_1,10_1,10_3,2_2,6_4,2_1,10_1,10_3,2_2,6_4,2_1,10_1,10_3,2_2,6_4,1550178563.253091,1550178565.867611,2_1,False,1550178565.867672,1550178565.867672
1550178569.77,1550178572.2,2_2,10_1,6_4,1_2,2_1,2_2,10_1,6_4,1_2,2_1,2_2,10_1,6_4,1_2,2_1,1550178571.746614,1550178574.178113,2_2,False,1550178574.178163,1550178574.178163
1550178579.47,1550178580.97,2_2,6_4,10_3,10_1,1_2,2_2,6_4,10_3,10_1,1_2,2_2,6_4,10_3,10_1,1_2,1550178580.509674,1550178582.403294,2_2,False,1550178582.403349,1550178582.403349
1550178596.03,1550178601.98,10_3,10_2,10_1,2_1,2_2,10_3,10_2,10_1,2_1,2_2,10_3,10_2,10_1,2_1,2_2,1550178601.555041,1550178603.531888,10_3,False,1550178626.534898,1550178626.534898
1550178629.59,1550178632.71,10_0,10_3,2_2,6_2,2_1,10_0,10_3,2_2,6_2,2_1,10_0,10_3,2_2,6_2,2_1,1550178632.257672,1550178634.628913,10_0,False,1550178634.628966,1550178634.628966
1550178636.89,1550178642.19,10_2,10_3,2_2,10_1,2_1,10_2,10_3,2_2,10_1,2_1,10_2,10_3,2_2,10_1,2_1,1550178641.733568,1550178650.134121,10_3,False,1550178650.134182,1550178650.134182
1550178696.3,1550178698.56,1_2,10_1,5_0,10_3,6_4,1_2,10_1,5_0,10_3,6_4,1_2,10_1,5_0,10_3,6_4,1550178698.10484,1550178700.146884,1_2,False,1550178700.146944,1550178700.146944
1550178711.56,1550178713.36,4_1,4_2,9_1,9_2,5_2,4_1,4_2,9_1,9_2,5_2,4_1,4_2,9_1,9_2,5_2,1550178712.898875,1550178714.64956,4_1,False,1550178714.649716,1550178714.649716
1550178721.1,1550178722.33,4_1,4_2,9_2,5_2,9_0,4_1,4_2,9_2,5_2,9_0,4_1,4_2,9_2,5_2,9_0,1550178721.867505,1550178723.262036,4_1,False,1550178723.262093,1550178723.262093
1550178734.68,1550178736.36,2_2,6_4,10_1,1_2,2_1,2_2,6_4,10_1,1_2,2_1,2_2,6_4,10_1,1_2,2_1,1550178735.896559,1550178739.361428,6_4,False,1550178743.562508,1550178743.562508
1550178746.62,1550178747.63,6_0,5_0,1_2,5_1,10_3,6_0,5_0,1_2,5_1,10_3,6_0,5_0,1_2,5_1,10_3,1550178747.160363,1550178750.311142,6_0,False,1550178750.311199,1550178750.311199
1550178753.18,1550178754.86,2_2,6_4,10_1,10_3,1_2,2_2,6_4,10_1,10_3,1_2,2_2,6_4,10_1,10_3,1_2,1550178754.395588,1550178757.833545,6_4,False,1550178757.833689,1550178757.833689
1550178775.09,1550178776.98,2_2,6_4,10_3,10_1,5_1,2_2,6_4,10_3,10_1,5_1,2_2,6_4,10_3,10_1,6_1,1550178776.539375,1550178779.812363,6_4,False,1550178779.812424,1550178779.812424
1550178786.6,1550178787.98,4_1,4_2,9_2,5_2,9_1,4_1,4_2,9_2,5_2,9_1,4_1,4_2,9_2,6_2,9_1,1550178787.53554,1550178789.279602,4_1,False,1550178789.27966,1550178789.27966
1550178808.24,1550178809.62,4_2,4_1,9_2,9_1,9_0,4_2,4_1,9_2,9_1,9_0,4_2,4_1,9_2,9_1,9_0,1550178809.161389,1550178811.073969,4_2,False,1550178811.074021,1550178811.074021
1550178844.45,1550178847.19,5_0,2_1,1_2,2_2,10_3,5_0,2_1,1_2,2_2,10_3,5_0,2_1,1_2,2_2,10_3,1550178846.743855,1550178849.224572,5_0,False,1550178849.224623,1550178849.224623
1550178848.1,1550178848.98,6_0,5_0,4_1,5_1,4_2,6_0,5_0,4_1,5_1,4_2,6_0,5_0,4_1,5_1,4_2,1550178851.234083,1550178857.696483,5_1,False,1550178857.696548,1550178857.696548
1550178851.77,1550178852.8,6_1,1_2,6_4,5_1,6_0,6_1,1_2,6_4,5_1,6_0,5_1,1_2,6_4,5_1,6_0,1550178859.714261,1550178862.470916,5_1,False,1550178862.471165,1550178862.471165
1550178886.39,1550178888.66,1_2,2_1,10_3,10_1,2_2,1_2,2_1,10_3,10_1,2_2,1_2,2_1,10_3,10_1,2_2,1550178888.193574,1550178890.153607,1_2,False,1550178890.153663,1550178890.153663
1550178898.6,1550178900.8,1_2,2_1,10_3,10_1,2_2,1_2,2_1,10_3,10_1,2_2,1_2,2_1,10_3,10_1,2_2,1550178900.333825,1550178902.281496,1_2,False,1550178902.281551,1550178902.281551
1550178908.16,1550178910.19,1_2,10_3,2_1,5_0,10_1,1_2,10_3,2_1,5_0,10_1,1_2,10_3,2_1,5_0,10_1,1550178909.743177,1550178911.576677,1_2,False,1550178911.576732,1550178911.576732
1550178915.06,1550178916.69,4_1,4_2,9_1,9_2,6_2,4_1,4_2,9_1,9_2,6_2,4_1,4_2,9_1,9_2,6_2,1550178916.240952,1550178918.00908,4_1,False,1550178918.009209,1550178918.009209
1550178926.66,1550178928.03,4_1,4_2,9_2,9_1,5_2,4_1,4_2,9_2,9_1,5_2,4_1,4_2,9_2,9_1,5_2,1550178927.566227,1550178929.175215,4_1,False,1550178929.175268,1550178929.175268
1550178968.48,1550178969.66,5_0,6_0,1_2,2_2,10_3,5_0,6_0,1_2,2_2,10_3,5_0,6_0,1_2,2_2,10_3,1550178969.187767,1550178971.745303,6_0,False,1550178971.745355,1550178971.745355
1550178993.92,1550178995.63,6_4,2_2,10_1,10_0,6_0,6_4,2_2,10_1,10_0,6_0,6_4,2_2,10_1,10_0,6_0,1550178995.159432,1550178997.257961,6_4,False,1550178997.258026,1550178997.258026
1550179004.56,1550179006.19,6_4,2_2,10_1,10_0,10_3,6_4,2_2,10_1,10_0,10_3,6_4,2_2,10_1,10_0,10_3,1550179005.738656,1550179007.403609,6_4,False,1550179007.403693,1550179007.403693
1550179015.5,1550179016.92,6_4,2_2,6_0,5_2,10_3,6_4,2_2,6_0,5_2,10_3,6_4,2_2,6_0,6_2,10_3,1550179016.470392,1550179018.137661,6_4,False,1550179018.137738,1550179018.137738
