1563752761.41,1563752763.48,1_1,6_3,5_2,6_2,4_1,1_1,6_3,5_2,6_2,4_1,1_1,6_3,5_2,6_2,4_1,1563752762.00357,1563752772.240415,1_1,False,1563752772.240461,1563752772.240461
1563752777.68,1563752779.62,1_2,6_4,5_2,6_2,10_2,1_2,6_4,5_2,6_2,10_2,1_2,6_4,5_2,6_2,10_2,1563752778.080149,1563752780.968814,1_2,False,1563752780.968865,1563752780.968865
1563752787.56,1563752789.35,4_1,4_2,11_1,11_2,3_1,4_1,4_2,11_1,11_2,3_1,4_1,4_2,11_1,11_2,3_1,1563752787.808435,1563752790.536904,4_1,False,1563752790.536953,1563752790.536953
1563752799.26,1563752800.84,1_1,6_3,4_1,4_2,3_2,1_1,6_3,4_1,4_2,3_2,1_1,6_3,4_1,4_2,3_2,1563752799.276669,1563752801.264989,1_1,False,1563752801.265034,1563752801.265034
1563752821.92,1563752823.71,1_2,6_2,6_4,9_0,10_3,1_2,6_2,6_4,10_0,10_3,1_2,6_2,6_4,10_0,10_3,1563752822.139838,1563752828.482875,,False,,
1563752832.05,1563752833.99,3_1,4_1,11_1,4_2,11_2,3_1,4_1,11_1,4_2,11_2,3_1,4_1,11_1,4_2,11_2,1563752832.454904,1563752835.264247,3_1,False,1563752835.264295,1563752835.264295
1563752843.41,1563752845.15,4_1,11_2,4_2,11_1,6_1,4_1,11_2,4_2,11_1,6_1,4_1,11_2,4_2,11_1,6_1,1563752843.616318,1563752846.301298,,False,,
1563752849.74,1563752852.34,4_1,3_2,4_2,3_1,11_1,4_1,3_2,4_2,3_1,11_1,4_1,3_2,4_2,3_1,11_1,1563752850.768699,1563752856.585059,3_2,False,1563752856.585108,1563752856.585108
1563752864.22,1563752865.54,10_3,9_0,10_2,1_2,6_4,10_3,10_0,10_2,1_2,6_4,10_3,10_0,10_2,1_2,6_4,1563752863.966286,1563752868.873362,10_0,False,1563752868.873408,1563752868.873408
1563752874.72,1563752877.49,9_0,5_2,5_3,10_3,6_1,10_0,5_2,10_1,10_3,6_1,11_0,10_0,5_2,10_1,10_3,1563752875.974958,1563752881.265313,10_3,False,1563752881.265375,1563752881.265375
1563752898.18,1563752900.34,4_1,4_2,11_1,11_2,3_2,4_1,4_2,11_1,11_2,3_2,4_1,4_2,11_1,11_2,3_2,1563752899.20651,1563752901.289829,4_1,False,1563752901.289888,1563752901.289888
1563752913.78,1563752915.52,5_2,4_1,4_2,11_2,11_1,5_2,4_1,4_2,11_2,11_1,5_2,4_1,4_2,11_2,11_1,1563752913.933793,1563752917.122123,5_2,False,1563752917.122173,1563752917.122173
1563752923.51,1563752925.35,4_2,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,1563752923.795834,1563752927.746172,4_1,False,1563752927.746221,1563752927.746221
1563752937.25,1563752939.31,4_2,4_1,11_1,11_2,1_1,4_2,4_1,11_1,11_2,1_1,4_2,4_1,11_1,11_2,1_1,1563752937.824644,1563752940.184979,4_2,False,1563752940.185032,1563752940.185032
1563752945.55,1563752946.84,5_1,6_3,9_0,5_3,10_2,5_1,6_3,10_0,10_1,10_2,5_1,6_3,10_0,10_1,10_2,1563752945.300067,1563752947.650404,5_1,False,1563752947.650454,1563752947.650454
1563752956.69,1563752958.65,1_1,6_3,4_1,3_2,4_2,1_1,6_3,4_1,3_2,4_2,1_1,6_3,4_1,3_2,4_2,1563752957.075856,1563752959.337587,1_1,False,1563752959.337636,1563752959.337636
1563752965.62,1563752967.12,5_3,5_1,9_0,1_1,6_3,10_1,5_1,10_0,1_1,6_3,10_1,5_1,10_0,1_1,6_3,1563752965.575311,1563752969.412329,,False,,
1563752972.82,1563752974.59,5_1,5_3,9_0,6_3,10_3,5_1,10_1,10_0,6_3,10_3,5_1,10_1,10_0,6_3,10_3,1563752973.009558,1563752975.227307,5_1,False,1563752975.227357,1563752975.227357
1563752981.19,1563752982.99,4_1,4_2,11_2,11_1,3_2,4_1,4_2,11_2,11_1,3_2,4_1,4_2,11_2,11_1,3_2,1563752981.39108,1563752983.306816,4_1,False,1563752983.306865,1563752983.306865
1563752990.69,1563752992.22,1_2,5_2,6_4,5_3,1_1,1_2,5_2,6_4,10_1,1_1,1_2,5_2,6_4,10_1,1_1,1563752990.662658,1563752993.450329,1_2,False,1563752993.450377,1563752993.450377
1563753003.61,1563753005.39,4_1,11_2,11_1,3_1,4_2,4_1,11_2,11_1,3_1,4_2,4_1,11_2,11_1,3_1,4_2,1563753003.871229,1563753009.57251,3_1,False,1563753009.57256,1563753009.57256
1563753017.32,1563753018.98,5_2,4_2,4_1,11_2,11_1,5_2,4_2,4_1,11_2,11_1,5_2,4_2,4_1,11_2,11_1,1563753017.492273,1563753019.786809,5_2,False,1563753019.786859,1563753019.786859
1563753025.55,1563753027.68,4_1,3_2,4_2,11_1,11_2,4_1,3_2,4_2,11_1,11_2,4_1,3_2,4_2,11_1,11_2,1563753026.095586,1563753029.314585,3_2,False,1563753029.314636,1563753029.314636
1563753041.41,1563753043.01,4_1,4_2,11_1,11_2,3_1,4_1,4_2,11_1,11_2,3_1,4_1,4_2,11_1,11_2,3_1,1563753041.452399,1563753044.195003,4_2,False,1563753044.195054,1563753044.195054
