2018-07-14 12:55:16.192000

10_0_S1_L2_Layout_X.xef :  [num_images: 2349, video_time: 96.7009998264, FPS: 24]
10_1_S1_L2_X_OnePanel.xef :  [num_images: 2503, video_time: 101.856999598, FPS: 24]
10_2_S1_L2_X_TwoPanels.xef :  [num_images: 2496, video_time: 103.963000359, FPS: 24]
10_3_S1_L2_X_ThreePanels.xef :  [num_images: 3037, video_time: 124.683999884, FPS: 24]
10_4_S1_L2_X_FourPanels.xef :  [num_images: 3171, video_time: 133.573000311, FPS: 23]
11_0_S1_L2_ContrastPresets_X.xef :  [num_images: 1948, video_time: 81.3969999523, FPS: 23]
11_2_S1_L2_X_StdTwo.xef :  [num_images: 1429, video_time: 59.0429998989, FPS: 24]
1_1_S1_L2_Scroll_Up.xef :  [num_images: 1638, video_time: 69.0099999237, FPS: 23]
1_2_S1_L2_Scroll_Down.xef :  [num_images: 1745, video_time: 75.9959999504, FPS: 22]
2_1_S1_L2_Flip_Horizontal.xef :  [num_images: 1777, video_time: 76.1360000935, FPS: 23]
2_2_S1_L2_Flip_Vertical.xef :  [num_images: 1781, video_time: 76.4189999714, FPS: 23]
3_1_S1_L2_Rotate_CW.xef :  [num_images: 1749, video_time: 78.8700001335, FPS: 22]
3_2_S1_L2_Rotate_CCW.xef :  [num_images: 1795, video_time: 78.6420000362, FPS: 22]
4_1_S1_L2_Zoom_In.xef :  [num_images: 1580, video_time: 65.0759996243, FPS: 24]
4_2_S1_L2_Zoom_Out.xef :  [num_images: 1733, video_time: 73.8589999771, FPS: 23]
5_0_S1_L2_SwitchPanel_X.xef :  [num_images: 1980, video_time: 86.1220002537, FPS: 22]
5_1_S1_L2_X_Left.xef :  [num_images: 1370, video_time: 59.7130002079, FPS: 22]
5_2_S1_L2_X_Right.xef :  [num_images: 1679, video_time: 70.1539999371, FPS: 23]
5_3_S1_L2_X_Up.xef :  [num_images: 1686, video_time: 72.7649999962, FPS: 23]
5_4_S1_L2_X_Down.xef :  [num_images: 1603, video_time: 69.0380001488, FPS: 23]
6_0_S1_L2_Pan_X.xef :  [num_images: 1658, video_time: 71.5499999084, FPS: 23]
6_1_S1_L2_X_Left.xef :  [num_images: 1750, video_time: 76.3470001202, FPS: 22]
6_2_S1_L2_X_Right.xef :  [num_images: 1798, video_time: 79.8369999084, FPS: 22]
6_3_S1_L2_X_Up.xef :  [num_images: 1890, video_time: 81.4960000153, FPS: 23]
6_4_S1_L2_X_Down.xef :  [num_images: 1728, video_time: 72.9440000858, FPS: 23]
7_1_S1_L2_Ruler_Measure.xef :  [num_images: 3019, video_time: 134.67499999, FPS: 22]
7_2_S1_L2_Ruler_Delete.xef :  [num_images: 1887, video_time: 83.2910000381, FPS: 22]
8_1_S1_L2_PIW_Open.xef :  [num_images: 1628, video_time: 72.3090000248, FPS: 22]
8_2_S1_L2_PIW_Close.xef :  [num_images: 1814, video_time: 78.1389999046, FPS: 23]
9_0_S1_L2_ManualContrast_X.xef :  [num_images: 1866, video_time: 82.7959997196, FPS: 22]
9_1_S1_L2_X_Increase.xef :  [num_images: 1481, video_time: 64.3630002708, FPS: 23]
9_2_S1_L2_X_Decrease.xef :  [num_images: 1511, video_time: 71.0550000248, FPS: 21]
5_3_S1_L3_X_Up.xef :  [num_images: 2163, video_time: 76.0160000763, FPS: 28]
10_0_S1_L8_Layout_X.xef :  [num_images: 1502, video_time: 68.5339999638, FPS: 21]
10_1_S1_L8_X_OnePanel.xef :  [num_images: 1398, video_time: 64.3210000134, FPS: 21]
10_2_S1_L8_X_TwoPanels.xef :  [num_images: 1246, video_time: 55.5580000649, FPS: 22]
10_3_S1_L8_X_ThreePanels.xef :  [num_images: 1379, video_time: 60.3079999199, FPS: 22]
10_4_S1_L8_X_FourPanels.xef :  [num_images: 1407, video_time: 64.8200002842, FPS: 21]
11_0_S1_L8_ContrastPresets_X.xef :  [num_images: 1385, video_time: 63.8189998436, FPS: 21]
1_1_S1_L8_Scroll_Up.xef :  [num_images: 1603, video_time: 73.8890000591, FPS: 21]
1_2_S1_L8_Scroll_Down.xef :  [num_images: 1632, video_time: 72.2100000496, FPS: 22]
2_0_S1_L8_Flip_Horizontal.xef :  [num_images: 1987, video_time: 90.8420002708, FPS: 21]
2_1_S1_L8_Flip_Vertical.xef :  [num_images: 1992, video_time: 92.093000061, FPS: 21]
3_1_S1_L8_Rotate_CW.xef :  [num_images: 1976, video_time: 90.7069999161, FPS: 21]
3_2_S1_L8_Rotate_CCW.xef :  [num_images: 1740, video_time: 81.8650001144, FPS: 21]
4_1_S1_L8_Zoom_In.xef :  [num_images: 1904, video_time: 89.6389999714, FPS: 21]
4_2_S1_L8_Zoom_Out.xef :  [num_images: 1669, video_time: 76.4330000477, FPS: 21]
5_1_S1_L8_SwitchPanel_Left.xef :  [num_images: 1528, video_time: 69.5919997768, FPS: 21]
5_2_S1_L8_SwitchPanel_Right.xef :  [num_images: 1481, video_time: 67.5009998283, FPS: 21]
5_3_S1_L8_SwitchPanel_Up.xef :  [num_images: 1549, video_time: 74.2600001812, FPS: 20]
5_4_S1_L8_SwitchPanel_Down.xef :  [num_images: 1455, video_time: 68.8179997883, FPS: 21]
6_1_S1_L8_Pan_Left.xef :  [num_images: 1661, video_time: 78.845000248, FPS: 21]
6_2_S1_L8_Pan_Right.xef :  [num_images: 1544, video_time: 74.6830002613, FPS: 20]
6_3_S1_L8_Pan_Up.xef :  [num_images: 1636, video_time: 77.8709999466, FPS: 21]
6_4_S1_L8_Pan_Down.xef :  [num_images: 1498, video_time: 69.2069997463, FPS: 21]
7_1_S1_L8_Ruler_Measure.xef :  [num_images: 1581, video_time: 75.2079999981, FPS: 21]
