2018-06-05 20:38:48.780000

10_2_S2_L6_X_TwoPanels.xef :  [num_images: 1827, video_time: 192.52, FPS: 9]
10_3_S2_L6_X_ThreePanels.xef :  [num_images: 1858, video_time: 185.3, FPS: 10]
10_4_S2_L6_X_FourPanels.xef :  [num_images: 1770, video_time: 187.91, FPS: 9]
11_1_S2_L6_X_StdOne.xef :  [num_images: 1929, video_time: 205.6, FPS: 9]
11_2_S2_L6_X_StdTwo.xef :  [num_images: 1721, video_time: 177.21, FPS: 9]
1_1_S2_L6_Scroll_Up.xef :  [num_images: 1910, video_time: 184.2, FPS: 10]
1_2_S2_L6_Scroll_Down.xef :  [num_images: 1977, video_time: 199.08, FPS: 9]
2_0_S2_L6_Flip_X.xef :  [num_images: 1992, video_time: 191.29, FPS: 10]
2_1_S2_L6_X_Horizontal.xef :  [num_images: 2230, video_time: 217.83, FPS: 10]
3_1_S2_L6_Rotate_CW.xef :  [num_images: 1990, video_time: 199.95, FPS: 9]
3_2_S2_L6_Rotate_CCW.xef :  [num_images: 1950, video_time: 184.23, FPS: 10]
4_1_S2_L6_Zoom_In.xef :  [num_images: 1805, video_time: 190.15, FPS: 9]
4_2_S2_L6_Zoom_Out.xef :  [num_images: 2037, video_time: 202.02, FPS: 10]
5_1_S2_L6_SwitchPanel_Left.xef :  [num_images: 1779, video_time: 169.51, FPS: 10]
5_2_S2_L6_SwitchPanel_Right.xef :  [num_images: 1791, video_time: 183.07, FPS: 9]
5_3_S2_L6_SwitchPanel_Up.xef :  [num_images: 1683, video_time: 169.86, FPS: 9]
5_4_S2_L6_SwitchPanel_Down.xef :  [num_images: 2084, video_time: 197.71, FPS: 10]
6_1_S2_L6_Pan_Left.xef :  [num_images: 2284, video_time: 236.21, FPS: 9]
6_2_S2_L6_Pan_Right.xef :  [num_images: 1892, video_time: 185.57, FPS: 10]
6_3_S2_L6_Pan_Up.xef :  [num_images: 1893, video_time: 189.49, FPS: 9]
6_4_S2_L6_Pan_Down.xef :  [num_images: 2093, video_time: 219.48, FPS: 9]
7_1_S2_L6_Ruler_Measure.xef :  [num_images: 2033, video_time: 204.59, FPS: 9]
8_1_S2_L6_PIW_Open.xef :  [num_images: 1979, video_time: 193.27, FPS: 10]
9_0_S2_L6_ManualContrast_X.xef :  [num_images: 2066, video_time: 216.74, FPS: 9]
