2018-06-11 17:33:29.731000

10_0_S1_L3_Layout_X.xef :  [num_images: 1793, video_time: 115.494999994, FPS: 15]
10_1_S1_L3_X_OnePanel.xef :  [num_images: 1567, video_time: 101.67600004, FPS: 15]
10_2_S1_L3_X_TwoPanels.xef :  [num_images: 1810, video_time: 115.040999912, FPS: 15]
10_3_S1_L3_X_ThreePanels.xef :  [num_images: 1967, video_time: 127.253999947, FPS: 15]
10_4_S1_L3_X_FourPanels.xef :  [num_images: 1843, video_time: 119.676999939, FPS: 15]
11_0_S1_L3_ContrastPresets_X.xef :  [num_images: 1858, video_time: 121.259000044, FPS: 15]
1_0_S1_L3_Scroll_X.xef :  [num_images: 1956, video_time: 114.791999882, FPS: 17]
1_1_S1_L3_X_Up.xef :  [num_images: 1939, video_time: 120.263000071, FPS: 16]
1_2_S1_L3_X_Down.xef :  [num_images: 1789, video_time: 111.223999603, FPS: 16]
2_0_S1_L3_Flip_X.xef :  [num_images: 2556, video_time: 157.697000103, FPS: 16]
2_1_S1_L3_X_Horizontal.xef :  [num_images: 1830, video_time: 116.78900017, FPS: 15]
2_2_S1_L3_X_Vertical.xef :  [num_images: 2008, video_time: 126.82900008, FPS: 15]
3_0_S1_L3_Rotate_X.xef :  [num_images: 2079, video_time: 129.373999903, FPS: 16]
3_1_S1_L3_X_CW.xef :  [num_images: 2018, video_time: 121.204000299, FPS: 16]
3_2_S1_L3_X_CCW.xef :  [num_images: 1873, video_time: 108.837000238, FPS: 17]
4_0_S1_L3_Zoom_X.xef :  [num_images: 2135, video_time: 125.919000319, FPS: 16]
4_1_S1_L3_X_In.xef :  [num_images: 1732, video_time: 106.582000181, FPS: 16]
4_2_S1_L3_X_Out.xef :  [num_images: 2185, video_time: 117.150000217, FPS: 18]
5_0_S1_L3_SwitchPanel_X.xef :  [num_images: 2225, video_time: 124.14700001, FPS: 17]
5_1_S1_L3_X_Left.xef :  [num_images: 2022, video_time: 123.049000154, FPS: 16]
5_2_S1_L3_X_Right.xef :  [num_images: 2326, video_time: 144.024000116, FPS: 16]
5_3_S1_L3_X_Down.xef :  [num_images: 2166, video_time: 124.118000469, FPS: 17]
5_4_S1_L3_X_Down.xef :  [num_images: 2100, video_time: 115.526999695, FPS: 18]
6_0_S1_L3_Pan_X.xef :  [num_images: 2081, video_time: 116.950000206, FPS: 17]
6_1_S1_L3_X_Left.xef :  [num_images: 2123, video_time: 110.812999844, FPS: 19]
6_2_S1_L3_X_Right.xef :  [num_images: 2081, video_time: 105.861000219, FPS: 19]
6_3_S1_L3_X_Up.xef :  [num_images: 2079, video_time: 112.436999989, FPS: 18]
6_4_S1_L3_X_Down.xef :  [num_images: 1926, video_time: 108.565000162, FPS: 17]
7_0_S1_L3_Ruler_X.xef :  [num_images: 1772, video_time: 108.94500021, FPS: 16]
7_1_S1_L3_X_Measure.xef :  [num_images: 2361, video_time: 142.2029998, FPS: 16]
7_2_S1_L3_X_Delete.xef :  [num_images: 2163, video_time: 131.463999987, FPS: 16]
8_0_S1_L3_PIW_X.xef :  [num_images: 2543, video_time: 163.219999758, FPS: 15]
8_1_S1_L3_X_Open.xef :  [num_images: 1919, video_time: 114.242999979, FPS: 16]
8_2_S1_L3_X_Close.xef :  [num_images: 1844, video_time: 116.018000101, FPS: 15]
9_0_S1_L3_ManualContrast_X.xef :  [num_images: 1763, video_time: 113.427000174, FPS: 15]
9_1_S1_L3_X_Increase.xef :  [num_images: 1952, video_time: 125.513000252, FPS: 15]
9_2_S1_L3_X_Decrease.xef :  [num_images: 1870, video_time: 117.598999678, FPS: 15]
