2018-06-04 16:44:13.547000

10_2_S2_L6_X_TwoPanels.xef :  [num_images: 1832, video_time: 193.28, FPS: 9]
10_3_S2_L6_X_ThreePanels.xef :  [num_images: 1855, video_time: 185.08, FPS: 10]
10_4_S2_L6_X_FourPanels.xef :  [num_images: 1768, video_time: 187.24, FPS: 9]
11_1_S2_L6_X_StdOne.xef :  [num_images: 1929, video_time: 205.92, FPS: 9]
11_2_S2_L6_X_StdTwo.xef :  [num_images: 1724, video_time: 177.43, FPS: 9]
1_1_S2_L6_Scroll_Up.xef :  [num_images: 1912, video_time: 184.41, FPS: 10]
1_2_S2_L6_Scroll_Down.xef :  [num_images: 1976, video_time: 198.22, FPS: 9]
2_0_S2_L6_Flip_X.xef :  [num_images: 1994, video_time: 191.88, FPS: 10]
2_1_S2_L6_X_Horizontal.xef :  [num_images: 2229, video_time: 217.91, FPS: 10]
3_1_S2_L6_Rotate_CW.xef :  [num_images: 1990, video_time: 199.65, FPS: 9]
3_2_S2_L6_Rotate_CCW.xef :  [num_images: 1950, video_time: 183.52, FPS: 10]
4_1_S2_L6_Zoom_In.xef :  [num_images: 1808, video_time: 190.76, FPS: 9]
4_2_S2_L6_Zoom_Out.xef :  [num_images: 2036, video_time: 202.04, FPS: 10]
5_1_S2_L6_SwitchPanel_Left.xef :  [num_images: 1778, video_time: 169.41, FPS: 10]
5_2_S2_L6_SwitchPanel_Right.xef :  [num_images: 1792, video_time: 183.59, FPS: 9]
5_3_S2_L6_SwitchPanel_Up.xef :  [num_images: 1683, video_time: 169.41, FPS: 9]
5_4_S2_L6_SwitchPanel_Down.xef :  [num_images: 2084, video_time: 197.25, FPS: 10]
6_1_S2_L6_Pan_Left.xef :  [num_images: 2283, video_time: 237.01, FPS: 9]
6_2_S2_L6_Pan_Right.xef :  [num_images: 1889, video_time: 184.65, FPS: 10]
6_3_S2_L6_Pan_Up.xef :  [num_images: 1890, video_time: 189.46, FPS: 9]
6_4_S2_L6_Pan_Down.xef :  [num_images: 2092, video_time: 219.52, FPS: 9]
7_1_S2_L6_Ruler_Measure.xef :  [num_images: 2034, video_time: 205.0, FPS: 9]
8_1_S2_L6_PIW_Open.xef :  [num_images: 1979, video_time: 192.78, FPS: 10]
9_0_S2_L6_ManualContrast_X.xef :  [num_images: 2067, video_time: 216.62, FPS: 9]
