2018-07-29 16:41:45.145000

6_0_S1_L2_Pan_X.xef :  [num_images: 1662, video_time: 73.6770001354, FPS: 22]
1_2_S2_L2_Scroll_Down.xef :  [num_images: 786, video_time: 41.9339997597, FPS: 18]
2_1_S2_L2_Flip_Horizontal.xef :  [num_images: 723, video_time: 37.9770000401, FPS: 19]
2_2_S2_L2_Flip_Vertical.xef :  [num_images: 806, video_time: 43.9190002842, FPS: 18]
3_1_S2_L2_Rotate_CW.xef :  [num_images: 1014, video_time: 54.9490000057, FPS: 18]
3_2_S2_L2_Rotate_CCW.xef :  [num_images: 876, video_time: 46.5760001392, FPS: 18]
4_1_S2_L2_Zoom_In.xef :  [num_images: 799, video_time: 42.8070000553, FPS: 18]
4_2_S2_L2_Zoom_Out.xef :  [num_images: 884, video_time: 44.2250001678, FPS: 19]
5_0_S2_L2_SwitchPanel_X.xef :  [num_images: 951, video_time: 43.6310000935, FPS: 21]
5_1_S2_L2_X_Left.xef :  [num_images: 658, video_time: 35.0449996643, FPS: 18]
5_2_S2_L2_X_Right.xef :  [num_images: 771, video_time: 41.747000103, FPS: 18]
5_3_S2_L2_X_Up.xef :  [num_images: 1256, video_time: 45.4539999027, FPS: 27]
5_4_S2_L2_X_Down.xef :  [num_images: 770, video_time: 41.4919998894, FPS: 18]
6_0_S2_L2_Pan_X.xef :  [num_images: 1430, video_time: 61.4919999771, FPS: 23]
6_1_S2_L2_X_Left.xef :  [num_images: 1329, video_time: 56.7849998379, FPS: 23]
6_2_S2_L2_X_Right.xef :  [num_images: 1252, video_time: 52.7239998894, FPS: 23]
6_3_S2_L2_X_Up.xef :  [num_images: 1173, video_time: 49.5650002918, FPS: 23]
6_4_S2_L2_X_Down.xef :  [num_images: 1618, video_time: 63.3380001049, FPS: 25]
7_1_S2_L2_Ruler_Measure.xef :  [num_images: 2681, video_time: 94.5369998703, FPS: 28]
7_2_S2_L2_Ruler_Delete.xef :  [num_images: 1841, video_time: 69.062000042, FPS: 26]
8_1_S2_L2_PIW_Open.xef :  [num_images: 1296, video_time: 51.7209998302, FPS: 25]
8_2_S2_L2_PIW_Close.xef :  [num_images: 1675, video_time: 60.108999979, FPS: 27]
9_0_S2_L2_ManualContrast_X.xef :  [num_images: 2090, video_time: 74.8410000439, FPS: 27]
9_1_S2_L2_X_Increase.xef :  [num_images: 1801, video_time: 73.4319999542, FPS: 24]
9_2_S2_L2_X_Decrease.xef :  [num_images: 2104, video_time: 82.7659998589, FPS: 25]
10_0_S2_L3_Layout_X.xef :  [num_images: 1470, video_time: 71.9139998875, FPS: 20]
10_1_S2_L3_X_OnePanel.xef :  [num_images: 987, video_time: 48.5739999352, FPS: 20]
10_2_S2_L3_X_TwoPanels.xef :  [num_images: 1001, video_time: 49.8289997272, FPS: 20]
10_3_S2_L3_X_ThreePanels.xef :  [num_images: 1006, video_time: 50.8100000668, FPS: 19]
