2018-07-29 19:36:31.568000

6_0_S1_L2_Pan_X.xef :  [num_images: 1661, video_time: 73.6440000744, FPS: 22]
2_0_S2_L6_Flip_X.xef :  [num_images: 1994, video_time: 71.3050004234, FPS: 27]
2_1_S2_L6_X_Horizontal.xef :  [num_images: 2222, video_time: 76.5429999084, FPS: 29]
3_1_S2_L6_Rotate_CW.xef :  [num_images: 1989, video_time: 73.5890001812, FPS: 27]
3_2_S2_L6_Rotate_CCW.xef :  [num_images: 1947, video_time: 77.9800002613, FPS: 24]
4_1_S2_L6_Zoom_In.xef :  [num_images: 1805, video_time: 65.0670000668, FPS: 27]
4_2_S2_L6_Zoom_Out.xef :  [num_images: 2037, video_time: 69.4500000801, FPS: 29]
5_1_S2_L6_SwitchPanel_Left.xef :  [num_images: 1775, video_time: 70.3250000153, FPS: 25]
5_2_S2_L6_SwitchPanel_Right.xef :  [num_images: 1788, video_time: 69.8579994583, FPS: 25]
5_3_S2_L6_SwitchPanel_Up.xef :  [num_images: 1674, video_time: 57.1650000496, FPS: 29]
5_4_S2_L6_SwitchPanel_Down.xef :  [num_images: 2085, video_time: 76.0729999256, FPS: 27]
6_1_S2_L6_Pan_Left.xef :  [num_images: 2277, video_time: 91.9049996643, FPS: 24]
6_2_S2_L6_Pan_Right.xef :  [num_images: 1886, video_time: 67.7280001659, FPS: 27]
6_3_S2_L6_Pan_Up.xef :  [num_images: 1884, video_time: 65.2469994411, FPS: 28]
6_4_S2_L6_Pan_Down.xef :  [num_images: 2085, video_time: 74.1699998665, FPS: 28]
7_1_S2_L6_Ruler_Measure.xef :  [num_images: 2035, video_time: 70.3379999027, FPS: 28]
8_1_S2_L6_PIW_Open.xef :  [num_images: 1977, video_time: 68.2770004692, FPS: 28]
9_0_S2_L6_ManualContrast_X.xef :  [num_images: 2058, video_time: 73.0399998436, FPS: 28]
10_0_S2_L8_Layout_X.xef :  [num_images: 1556, video_time: 66.5419998074, FPS: 23]
10_1_S2_L8_X_OnePanel.xef :  [num_images: 2246, video_time: 91.5419998417, FPS: 24]
10_2_S2_L8_X_TwoPanels.xef :  [num_images: 1652, video_time: 72.672999876, FPS: 22]
10_3_S2_L8_X_ThreePanels.xef :  [num_images: 1934, video_time: 81.4979996243, FPS: 23]
10_4_S2_L8_X_FourPanels.xef :  [num_images: 1871, video_time: 73.5510001469, FPS: 25]
11_0_S2_L8_ContrastPresets_X.xef :  [num_images: 1880, video_time: 80.3260001678, FPS: 23]
1_1_S2_L8_Scroll_Up.xef :  [num_images: 1621, video_time: 61.8529999886, FPS: 26]
1_2_S2_L8_Scroll_Down.xef :  [num_images: 1685, video_time: 64.7650002422, FPS: 26]
2_0_S2_L8_Flip_Horizontal.xef :  [num_images: 2277, video_time: 83.0199999847, FPS: 27]
2_1_S2_L8_Flip_Vertical.xef :  [num_images: 1827, video_time: 71.8409997616, FPS: 25]
3_1_S2_L8_Rotate_CW.xef :  [num_images: 1874, video_time: 75.2979999981, FPS: 24]
3_2_S2_L8_Rotate_CCW.xef :  [num_images: 1994, video_time: 76.8180000687, FPS: 25]
4_1_S2_L8_Zoom_In.xef :  [num_images: 1753, video_time: 73.3039997101, FPS: 23]
4_2_S2_L8_Zoom_Out.xef :  [num_images: 2285, video_time: 95.4200004082, FPS: 23]
5_1_S2_L8_SwitchPanel_Left.xef :  [num_images: 2061, video_time: 76.6169999599, FPS: 26]
5_2_S2_L8_SwitchPanel_Right.xef :  [num_images: 1783, video_time: 76.2439994793, FPS: 23]
5_3_S2_L8_SwitchPanel_Up.xef :  [num_images: 2010, video_time: 80.2069999008, FPS: 25]
5_4_S2_L8_SwitchPanel_Down.xef :  [num_images: 1668, video_time: 72.0069997177, FPS: 23]
6_1_S2_L8_Pan_Left.xef :  [num_images: 1848, video_time: 75.5530001106, FPS: 24]
6_2_S2_L8_Pan_Right.xef :  [num_images: 1843, video_time: 72.6719999561, FPS: 25]
6_3_S2_L8_Pan_Up.xef :  [num_images: 1900, video_time: 76.9820001793, FPS: 24]
6_4_S2_L8_Pan_Down.xef :  [num_images: 2104, video_time: 87.4550002213, FPS: 24]
7_1_S2_L8_Ruler_Measure.xef :  [num_images: 1769, video_time: 71.4900000687, FPS: 24]
7_2_S2_L8_Ruler_Delete.xef :  [num_images: 1737, video_time: 73.7149999828, FPS: 23]
8_1_S2_L8_PIW_Open.xef :  [num_images: 1602, video_time: 66.092000061, FPS: 24]
8_2_S2_L8_PIW_Close.xef :  [num_images: 1963, video_time: 81.6789998493, FPS: 24]
9_1_S2_L8_ManualContrast_Increase.xef :  [num_images: 1966, video_time: 78.7830000515, FPS: 24]
9_2_S2_L8_ManualContrast_Decrease.xef :  [num_images: 1928, video_time: 77.3320002861, FPS: 24]
10_0_S3_L2_Layout_X.xef :  [num_images: 2166, video_time: 122.55600001, FPS: 17]
10_1_S3_L2_X_OnePanel.xef :  [num_images: -1, video_time: -1, FPS: -1]
10_2_S3_L2_X_TwoPanels.xef :  [num_images: 2283, video_time: 133.878000195, FPS: 17]
10_3_S3_L2_X_ThreePanels.xef :  [num_images: 2314, video_time: 137.656999807, FPS: 16]
10_4_S3_L2_X_FourPanels.xef :  [num_images: 2383, video_time: 144.361000162, FPS: 16]
1_1_S3_L2_Scroll_Up.xef :  [num_images: 1825, video_time: 106.302000042, FPS: 17]
1_2_S3_L2_Scroll_Down.xef :  [num_images: 2014, video_time: 121.834000139, FPS: 16]
2_1_S3_L2_Flip_Horizontal.xef :  [num_images: 1589, video_time: 96.5740000019, FPS: 16]
2_1_S3_L2_Flip_Vertical.xef :  [num_images: 1890, video_time: 113.780000135, FPS: 16]
3_2_S3_L2_Rotate_CCW.xef :  [num_images: 1542, video_time: 95.0969996853, FPS: 16]
3_2_S3_L2_Rotate_CW.xef :  [num_images: 1614, video_time: 97.6250000362, FPS: 16]
4_1_S3_L2_Zoom_In.xef :  [num_images: 1544, video_time: 97.2980003395, FPS: 15]
4_2_S3_L2_Zoom_Out.xef :  [num_images: 1761, video_time: 109.617000057, FPS: 16]
5_0_S3_L2_SwitchPanel_X.xef :  [num_images: 1605, video_time: 99.9500001183, FPS: 16]
5_1_S3_L2_X_Left.xef :  [num_images: 1534, video_time: 93.735999754, FPS: 16]
5_2_S3_L2_X_Right.xef :  [num_images: 1675, video_time: 105.543000042, FPS: 15]
5_3_S3_L2_X_Up.xef :  [num_images: 1691, video_time: 103.90699991, FPS: 16]
5_4_S3_L2_X_Down.xef :  [num_images: 1648, video_time: 102.951999718, FPS: 16]
6_0_S3_L2_Pan_X.xef :  [num_images: 1426, video_time: 89.8339997368, FPS: 15]
