2018-06-07 10:01:42.153000

10_2_S1_L6_X_TwoPanels.xef :  [num_images: 2017, video_time: 33.8670000763, FPS: 59]
10_3_S1_L6_X_ThreePanels.xef :  [num_images: 2120, video_time: 36.1910001144, FPS: 58]
10_4_S1_L6_X_FourPanels.xef :  [num_images: 2119, video_time: 36.9990000877, FPS: 57]
11_1_S1_L6_X_StdOne.xef :  [num_images: 1981, video_time: 33.891999649, FPS: 58]
11_2_S1_L6_X_StdTwo.xef :  [num_images: 2052, video_time: 34.3529997215, FPS: 59]
1_1_S1_L6_Scroll_Up.xef :  [num_images: 2349, video_time: 40.248999897, FPS: 58]
1_2_S1_L6_Scroll_Down.xef :  [num_images: 2219, video_time: 37.2989999676, FPS: 59]
2_0_S1_L6_Flip_X.xef :  [num_images: 2243, video_time: 35.8370001259, FPS: 62]
2_1_S1_L6_X_Horizontal.xef :  [num_images: 2144, video_time: 35.2329997368, FPS: 60]
3_1_S1_L6_Rotate_CW.xef :  [num_images: 2143, video_time: 35.6569999046, FPS: 60]
3_2_S1_L6_Rotate_CCW.xef :  [num_images: 1970, video_time: 33.1519998016, FPS: 59]
4_1_S1_L6_Zoom_In.xef :  [num_images: 2007, video_time: 33.6489999866, FPS: 59]
4_2_S1_L6_Zoom_Out.xef :  [num_images: 2001, video_time: 33.2290001201, FPS: 60]
5_1_S1_L6_SwitchPanel_Left.xef :  [num_images: 2281, video_time: 37.6309996014, FPS: 60]
5_2_S1_L6_SwitchPanel_Right.xef :  [num_images: 2322, video_time: 37.9440000572, FPS: 61]
5_3_S1_L6_SwitchPanel_Up.xef :  [num_images: 2373, video_time: 39.7880002079, FPS: 59]
5_4_S1_L6_SwitchPanel_Down.xef :  [num_images: 2192, video_time: 36.8999997368, FPS: 59]
6_1_S1_L6_Pan_Left.xef :  [num_images: 2453, video_time: 41.4979999657, FPS: 59]
6_2_S1_L6_Pan_Right.xef :  [num_images: 2245, video_time: 39.5130000439, FPS: 56]
6_3_S1_L6_Pan_Up.xef :  [num_images: 2336, video_time: 40.0470001297, FPS: 58]
6_4_S1_L6_Pan_Down.xef :  [num_images: 2398, video_time: 39.7040001202, FPS: 60]
7_1_S1_L6_Ruler_Measure.xef :  [num_images: 2289, video_time: 39.0419999809, FPS: 58]
8_1_S1_L6_PIW_Open.xef :  [num_images: 2201, video_time: 37.3049998608, FPS: 59]
9_0_S1_L6_ManualContrast_X.xef :  [num_images: 2174, video_time: 35.8170001354, FPS: 60]
