2018-06-05 18:06:06.506000

10_2_S1_L6_X_TwoPanels.xef :  [num_images: 2017, video_time: 187.01, FPS: 10]
10_3_S1_L6_X_ThreePanels.xef :  [num_images: 2119, video_time: 195.15, FPS: 10]
10_4_S1_L6_X_FourPanels.xef :  [num_images: 2115, video_time: 183.92, FPS: 11]
11_1_S1_L6_X_StdOne.xef :  [num_images: 1982, video_time: 174.89, FPS: 11]
11_2_S1_L6_X_StdTwo.xef :  [num_images: 2054, video_time: 185.96, FPS: 11]
1_1_S1_L6_Scroll_Up.xef :  [num_images: 2352, video_time: 203.52, FPS: 11]
1_2_S1_L6_Scroll_Down.xef :  [num_images: 2220, video_time: 232.86, FPS: 9]
2_0_S1_L6_Flip_X.xef :  [num_images: 2245, video_time: 262.48, FPS: 8]
2_1_S1_L6_X_Horizontal.xef :  [num_images: 2142, video_time: 239.88, FPS: 8]
3_1_S1_L6_Rotate_CW.xef :  [num_images: 2143, video_time: 245.27, FPS: 8]
3_2_S1_L6_Rotate_CCW.xef :  [num_images: 1969, video_time: 224.52, FPS: 8]
4_1_S1_L6_Zoom_In.xef :  [num_images: 2004, video_time: 226.78, FPS: 8]
4_2_S1_L6_Zoom_Out.xef :  [num_images: 2002, video_time: 228.95, FPS: 8]
5_1_S1_L6_SwitchPanel_Left.xef :  [num_images: 2281, video_time: 261.96, FPS: 8]
5_2_S1_L6_SwitchPanel_Right.xef :  [num_images: 2323, video_time: 266.8, FPS: 8]
5_3_S1_L6_SwitchPanel_Up.xef :  [num_images: 2373, video_time: 246.82, FPS: 9]
5_4_S1_L6_SwitchPanel_Down.xef :  [num_images: 2193, video_time: 215.81, FPS: 10]
6_1_S1_L6_Pan_Left.xef :  [num_images: 2453, video_time: 238.22, FPS: 10]
6_2_S1_L6_Pan_Right.xef :  [num_images: 2243, video_time: 182.56, FPS: 12]
6_3_S1_L6_Pan_Up.xef :  [num_images: 2330, video_time: 219.48, FPS: 10]
6_4_S1_L6_Pan_Down.xef :  [num_images: 2394, video_time: 232.69, FPS: 10]
7_1_S1_L6_Ruler_Measure.xef :  [num_images: 2292, video_time: 222.5, FPS: 10]
8_1_S1_L6_PIW_Open.xef :  [num_images: 2200, video_time: 215.22, FPS: 10]
9_0_S1_L6_ManualContrast_X.xef :  [num_images: 2172, video_time: 236.17, FPS: 9]
