2018-07-30 18:21:05.998000

3_1_S4_L6_Rotate_CW.xef :  [num_images: 2084, video_time: 114.920999798, FPS: 18]
3_2_S4_L6_Rotate_CCW.xef :  [num_images: 1755, video_time: 95.9510002441, FPS: 18]
4_1_S4_L6_Zoom_In.xef :  [num_images: 2175, video_time: 119.555000074, FPS: 18]
4_2_S4_L6_Zoom_Out.xef :  [num_images: 1976, video_time: 110.109000088, FPS: 17]
5_1_S4_L6_SwitchPanel_Left.xef :  [num_images: 2516, video_time: 139.624999804, FPS: 18]
5_2_S4_L6_SwitchPanel_Right.xef :  [num_images: 2113, video_time: 116.313999708, FPS: 18]
5_3_S4_L6_SwitchPanel_Up.xef :  [num_images: 2144, video_time: 115.91300029, FPS: 18]
5_4_S4_L6_SwitchPanel_Down.xef :  [num_images: 2043, video_time: 112.796000261, FPS: 18]
6_1_S4_L6_Pan_Left.xef :  [num_images: 2233, video_time: 123.525000097, FPS: 18]
6_2_S4_L6_Pan_Right.xef :  [num_images: 2023, video_time: 111.666999529, FPS: 18]
6_3_S4_L6_Pan_Up.xef :  [num_images: 1718, video_time: 95.6199999104, FPS: 17]
6_4_S4_L6_Pan_Down.xef :  [num_images: 2074, video_time: 113.742999958, FPS: 18]
7_1_S4_L6_Ruler_Measure.xef :  [num_images: 2122, video_time: 118.095999823, FPS: 17]
8_1_S4_L6_PIW_Open.xef :  [num_images: 2074, video_time: 111.739999912, FPS: 18]
9_0_S4_L6_ManualContrast_X.xef :  [num_images: 1795, video_time: 99.0129997063, FPS: 18]
10_0_S4_L8_Layout_X.xef :  [num_images: 1323, video_time: 71.5830000439, FPS: 18]
10_1_S4_L8_X_OnePanel.xef :  [num_images: 1344, video_time: 72.6140001945, FPS: 18]
10_2_S4_L8_X_TwoPanels.xef :  [num_images: 1477, video_time: 77.8220000839, FPS: 18]
10_3_S4_L8_X_ThreePanels.xef :  [num_images: 1511, video_time: 80.2700000629, FPS: 18]
10_4_S4_L8_X_FourPanels.xef :  [num_images: 1415, video_time: 76.7259998417, FPS: 18]
11_0_S4_L8_ContrastPresets_X.xef :  [num_images: 1245, video_time: 67.2980001354, FPS: 18]
1_1_S4_L8_Scroll_Up.xef :  [num_images: 1790, video_time: 92.6939997997, FPS: 19]
1_2_S4_L8_Scroll_Down.xef :  [num_images: 1939, video_time: 102.184000364, FPS: 18]
2_0_S4_L8_Flip_Horizontal.xef :  [num_images: 2091, video_time: 109.395000463, FPS: 19]
