2018-09-11 19:53:51.811000

10_0_S6_L3_Layout_X.xef :  [num_images: 1455, video_time: 45.8120002823, FPS: 31]
10_1_S6_L3_X_OnePanel.xef :  [num_images: 1194, video_time: 46.3130000725, FPS: 25]
10_2_S6_L3_X_TwoPanels.xef :  [num_images: 1215, video_time: 47.3039999409, FPS: 25]
10_3_S6_L3_X_ThreePanels.xef :  [num_images: 1151, video_time: 47.9289998856, FPS: 24]
10_4_S6_L3_X_FourPanels.xef :  [num_images: 1138, video_time: 46.0030001602, FPS: 24]
11_0_S6_L3_ContrastPresets_X.xef :  [num_images: 1412, video_time: 56.8249999924, FPS: 24]
1_0_S6_L3_Scroll_X.xef :  [num_images: 1901, video_time: 79.5449999561, FPS: 23]
1_1_S6_L3_X_Up.xef :  [num_images: 1817, video_time: 76.9930003891, FPS: 23]
1_2_S6_L3_X_Down.xef :  [num_images: 1864, video_time: 77.1819995708, FPS: 24]
2_0_S6_L3_Flip_X.xef :  [num_images: 2313, video_time: 90.5570000896, FPS: 25]
2_1_S6_L3_X_Horizontal.xef :  [num_images: 1429, video_time: 57.3589999657, FPS: 24]
2_2_S6_L3_X_Vertical.xef :  [num_images: 1910, video_time: 80.4609998741, FPS: 23]
3_0_S6_L3_Rotate_X.xef :  [num_images: 1754, video_time: 74.1399997673, FPS: 23]
3_1_S6_L3_X_CW.xef :  [num_images: 1703, video_time: 72.8329999065, FPS: 23]
3_2_S6_L3_X_CCW.xef :  [num_images: 1554, video_time: 65.3479998264, FPS: 23]
4_0_S6_L3_Zoom_X.xef :  [num_images: 1718, video_time: 67.2780001221, FPS: 25]
4_1_S6_L3_X_In.xef :  [num_images: 1666, video_time: 65.0529999676, FPS: 25]
4_2_S6_L3_X_Out.xef :  [num_images: 1612, video_time: 66.6040000534, FPS: 24]
5_0_S6_L3_SwitchPanel_X.xef :  [num_images: 1558, video_time: 62.1549999523, FPS: 25]
5_1_S6_L3_X_Left.xef :  [num_images: 1563, video_time: 60.5109999638, FPS: 25]
5_2_S6_L3_X_Right.xef :  [num_images: 1709, video_time: 70.4440001144, FPS: 24]
5_3_S6_L3_X_Up.xef :  [num_images: 1559, video_time: 66.336000061, FPS: 23]
5_4_S6_L3_X_Down.xef :  [num_images: 1538, video_time: 64.4120000801, FPS: 23]
6_0_S6_L3_Pan_X.xef :  [num_images: 1715, video_time: 69.9760002174, FPS: 24]
6_1_S6_L3_X_Left.xef :  [num_images: 1455, video_time: 56.3690002918, FPS: 25]
6_2_S6_L3_X_Right.xef :  [num_images: 1921, video_time: 76.2139996948, FPS: 25]
6_3_S6_L3_X_Up.xef :  [num_images: 1979, video_time: 79.7770002003, FPS: 24]
6_4_S6_L3_X_Down.xef :  [num_images: 1593, video_time: 67.1459999886, FPS: 23]
7_1_S6_L3_X_Measure.xef :  [num_images: 2092, video_time: 86.0320002747, FPS: 24]
7_2_S6_L3_X_Delete.xef :  [num_images: 2129, video_time: 91.2810001011, FPS: 23]
8_0_S6_L3_PIW_X.xef :  [num_images: 2276, video_time: 92.1110000744, FPS: 24]
8_1_S6_L3_X_Open.xef :  [num_images: 1225, video_time: 47.399999794, FPS: 25]
8_2_S6_L3_X_Close.xef :  [num_images: 1644, video_time: 63.8199996872, FPS: 25]
9_0_S6_L3_ManualContrast_X.xef :  [num_images: 1324, video_time: 52.816, FPS: 25]
9_1_S6_L3_X_Increase.xef :  [num_images: 1205, video_time: 51.7700000114, FPS: 23]
9_2_S6_L3_X_Decrease.xef :  [num_images: 1437, video_time: 62.7679999313, FPS: 22]
