2018-07-28 19:14:24.982000

5_2_S1_L3_X_Right.xef :  [num_images: 2318, video_time: 86.6490003853, FPS: 26]
5_3_S1_L3_X_Up.xef :  [num_images: 2169, video_time: 78.5260001278, FPS: 27]
5_4_S1_L3_X_Down.xef :  [num_images: 2094, video_time: 86.9489999847, FPS: 24]
6_0_S1_L3_Pan_X.xef :  [num_images: 2076, video_time: 78.817000042, FPS: 26]
6_1_S1_L3_X_Left.xef :  [num_images: 2114, video_time: 78.6400000439, FPS: 26]
6_2_S1_L3_X_Right.xef :  [num_images: 2079, video_time: 75.9470000324, FPS: 27]
6_3_S1_L3_X_Up.xef :  [num_images: 2076, video_time: 74.9999999657, FPS: 27]
6_4_S1_L3_X_Down.xef :  [num_images: 1920, video_time: 70.2820002117, FPS: 27]
7_1_S1_L3_Ruler_Measure.xef :  [num_images: 2353, video_time: 87.1080002995, FPS: 27]
7_2_S1_L3_Ruler_Delete.xef :  [num_images: 2164, video_time: 79.5339999619, FPS: 27]
8_0_S1_L3_PIW_X.xef :  [num_images: 2539, video_time: 107.426999817, FPS: 23]
8_1_S1_L3_X_Open.xef :  [num_images: 1920, video_time: 72.6930000782, FPS: 26]
8_2_S1_L3_X_Close.xef :  [num_images: 1843, video_time: 70.6270001183, FPS: 26]
9_0_S1_L3_ManualContrast_X.xef :  [num_images: 1755, video_time: 70.4950000267, FPS: 24]
9_1_S1_L3_X_Increase.xef :  [num_images: 1946, video_time: 72.7810001373, FPS: 26]
9_2_S1_L3_X_Decrease.xef :  [num_images: 1865, video_time: 68.3770000401, FPS: 27]
10_2_S1_L6_X_TwoPanels.xef :  [num_images: 2022, video_time: 70.8739999542, FPS: 28]
10_3_S1_L6_X_ThreePanels.xef :  [num_images: 2114, video_time: 74.3339994106, FPS: 28]
10_4_S1_L6_X_FourPanels.xef :  [num_images: 2113, video_time: 81.1790002861, FPS: 26]
11_1_S1_L6_X_StdOne.xef :  [num_images: 1977, video_time: 69.7200002728, FPS: 28]
11_2_S1_L6_X_StdTwo.xef :  [num_images: 2052, video_time: 79.0530000134, FPS: 25]
1_1_S1_L6_Scroll_Up.xef :  [num_images: 2353, video_time: 84.0420002422, FPS: 27]
1_2_S1_L6_Scroll_Down.xef :  [num_images: 2214, video_time: 81.7580002289, FPS: 27]
2_0_S1_L6_Flip_X.xef :  [num_images: 2244, video_time: 86.6389996376, FPS: 25]
2_1_S1_L6_X_Horizontal.xef :  [num_images: 2134, video_time: 73.8429999256, FPS: 28]
3_1_S1_L6_Rotate_CW.xef :  [num_images: 2146, video_time: 76.3880000114, FPS: 28]
3_2_S1_L6_Rotate_CCW.xef :  [num_images: 1961, video_time: 72.6739996319, FPS: 26]
4_1_S1_L6_Zoom_In.xef :  [num_images: 2003, video_time: 75.3919997272, FPS: 26]
4_2_S1_L6_Zoom_Out.xef :  [num_images: 1996, video_time: 71.0079999351, FPS: 28]
5_1_S1_L6_SwitchPanel_Left.xef :  [num_images: 2278, video_time: 89.6559999523, FPS: 25]
5_2_S1_L6_SwitchPanel_Right.xef :  [num_images: 2320, video_time: 81.2139996433, FPS: 28]
5_3_S1_L6_SwitchPanel_Up.xef :  [num_images: 2367, video_time: 86.1960000858, FPS: 27]
5_4_S1_L6_SwitchPanel_Down.xef :  [num_images: 2193, video_time: 85.9469999962, FPS: 25]
6_1_S1_L6_Pan_Left.xef :  [num_images: 2448, video_time: 86.780000145, FPS: 28]
6_2_S1_L6_Pan_Right.xef :  [num_images: 2249, video_time: 80.3499998531, FPS: 27]
6_3_S1_L6_Pan_Up.xef :  [num_images: 2327, video_time: 81.5310000572, FPS: 28]
6_4_S1_L6_Pan_Down.xef :  [num_images: 2389, video_time: 83.5619994831, FPS: 28]
7_1_S1_L6_Ruler_Measure.xef :  [num_images: 2287, video_time: 81.6889998474, FPS: 27]
8_1_S1_L6_PIW_Open.xef :  [num_images: 2196, video_time: 83.0810001793, FPS: 26]
9_0_S1_L6_ManualContrast_X.xef :  [num_images: 2172, video_time: 78.8949998894, FPS: 27]
10_0_S1_L8_Layout_X.xef :  [num_images: 1497, video_time: 69.7400000763, FPS: 21]
10_1_S1_L8_X_OnePanel.xef :  [num_images: 1393, video_time: 65.6150001469, FPS: 21]
10_2_S1_L8_X_TwoPanels.xef :  [num_images: 1248, video_time: 56.8069999981, FPS: 21]
10_3_S1_L8_X_ThreePanels.xef :  [num_images: 1380, video_time: 61.8109995632, FPS: 22]
10_4_S1_L8_X_FourPanels.xef :  [num_images: 1406, video_time: 65.9839995785, FPS: 21]
11_0_S1_L8_ContrastPresets_X.xef :  [num_images: 1387, video_time: 65.1339996471, FPS: 21]
1_1_S1_L8_Scroll_Up.xef :  [num_images: 1606, video_time: 75.6280001354, FPS: 21]
1_2_S1_L8_Scroll_Down.xef :  [num_images: 1634, video_time: 73.9069998188, FPS: 22]
2_0_S1_L8_Flip_Horizontal.xef :  [num_images: 1988, video_time: 92.585000206, FPS: 21]
2_1_S1_L8_Flip_Vertical.xef :  [num_images: 1988, video_time: 93.3099996471, FPS: 21]
3_1_S1_L8_Rotate_CW.xef :  [num_images: 1976, video_time: 92.4780001755, FPS: 21]
3_2_S1_L8_Rotate_CCW.xef :  [num_images: 1743, video_time: 83.8639998245, FPS: 20]
4_1_S1_L8_Zoom_In.xef :  [num_images: 1905, video_time: 91.992000082, FPS: 20]
4_2_S1_L8_Zoom_Out.xef :  [num_images: 1670, video_time: 78.1920002098, FPS: 21]
